"","region","scenario","Trade","ReactorCost","FuelCost","Technology","year","Material","demand_type","Units","annual_material_demand"
"67","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2045,"Silicon carbide","installation_demand","kt",0.00149501672449572
"68","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2050,"Copper","installation_demand","kt",0.309634868726814
"69","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2050,"Graphite","installation_demand","kt",1.88877269923357
"70","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2050,"Silicon carbide","installation_demand","kt",0.00309634868726814
"71","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2055,"Copper","installation_demand","kt",0.330349337657632
"72","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2055,"Graphite","installation_demand","kt",2.01513095971155
"73","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2055,"Silicon carbide","installation_demand","kt",0.00330349337657632
"74","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2060,"Copper","installation_demand","kt",0.33310313470831
"75","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2060,"Graphite","installation_demand","kt",2.03192912172069
"76","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2060,"Silicon carbide","installation_demand","kt",0.0033310313470831
"77","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2065,"Copper","installation_demand","kt",0.384659994313862
"78","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2065,"Graphite","installation_demand","kt",2.34642596531456
"79","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2065,"Silicon carbide","installation_demand","kt",0.00384659994313862
"80","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2070,"Copper","installation_demand","kt",0.427177912053494
"81","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2070,"Graphite","installation_demand","kt",2.60578526352631
"82","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2070,"Silicon carbide","installation_demand","kt",0.00427177912053494
"83","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2075,"Copper","installation_demand","kt",0.443541231722106
"84","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2075,"Graphite","installation_demand","kt",2.70560151350485
"85","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2075,"Silicon carbide","installation_demand","kt",0.00443541231722106
"86","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2080,"Copper","installation_demand","kt",0.588855306330448
"87","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2080,"Graphite","installation_demand","kt",3.59201736861573
"88","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2080,"Silicon carbide","installation_demand","kt",0.00588855306330448
"89","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2085,"Copper","installation_demand","kt",0.463303013625742
"90","USA","100% Domestic","100% Domestic","Reactor - Mod.","Fuel - Mod.","Nuclear - SMR - HTGR",2085,"Graphite","installation_demand","kt",2.82614838311703
