"region","year","Technology_detailed","value","Technology","Units","scenario","Trade","ReactorCost","FuelCost"
"USA",2050,"Nuclear - SMR - MSR",12.5888472222222,"Nuclear - SMR - MSR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2050,"Nuclear - SMR - PWR modular",19.0760722222222,"Nuclear - SMR - PWR modular","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2050,"Nuclear - SMR - SFR",23.3808333333333,"Nuclear - SMR - SFR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2055,"Nuclear - Large - PWR",340.512861111111,"Nuclear - Large - PWR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2055,"Nuclear - Legacy",540.455083333333,"Nuclear - Legacy","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2055,"Nuclear - SMR - BWR",70.6257222222222,"Nuclear - SMR - BWR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2055,"Nuclear - SMR - HTGR",46.9969444444444,"Nuclear - SMR - HTGR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2055,"Nuclear - SMR - MSR",18.7182527777778,"Nuclear - SMR - MSR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2055,"Nuclear - SMR - PWR modular",27.2422527777778,"Nuclear - SMR - PWR modular","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2055,"Nuclear - SMR - SFR",34.8679444444444,"Nuclear - SMR - SFR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2060,"Nuclear - Large - PWR",431.630527777778,"Nuclear - Large - PWR","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
"USA",2060,"Nuclear - Legacy",421.599083333333,"Nuclear - Legacy","TWh","100% Domestic - Adv. Fuel","100% Domestic","Reactor - Mod.","Fuel - Adv."
